year,sector_key,level,total_emp,resident_emp,nonresident_emp,nonresident_share_pct,gdp_million_sgd,gdp_per_worker_thousand_sgd,data_source
2009,community_social,2,615.6,,,,26966.1,43.8,direct
2009,info_comms,2,94.4,94.3,0.1,0.11,10699.0,113.34,direct
2009,mfg_electronics,2,95.3,,,,,,direct
2009,mfg_food_bev,2,34.0,,,,,,direct
2009,mfg_metal_machinery,2,101.2,,,,,,direct
2009,mfg_other,2,57.6,,,,,,direct
2009,mfg_paper_rubber,2,37.3,,,,,,direct
2009,mfg_petrochem,2,57.1,,,,,,direct
2009,mfg_transport_equip,2,133.5,,,,,,direct
2009,professional,2,171.7,109.6,62.1,36.17,16662.0,97.04,direct
2009,real_estate,2,78.6,45.0,33.6,42.75,11027.5,140.3,direct
2009,transport_storage,2,199.7,179.9,19.8,9.91,21455.1,107.44,direct
2009,wholesale_retail,2,424.6,272.4,152.2,35.85,50395.9,118.69,direct
2010,construction,1,378.7,104.0,274.7,72.54,14402.7,38.03,direct
2010,manufacturing,1,520.2,291.4,228.8,43.98,67926.3,130.58,direct
2010,others,1,22.0,37.5,-15.5,-70.45,,,direct
2010,services,1,2184.7,1530.0,654.7,29.97,210487.7,96.35,direct
2010,accomm_food,2,205.0,128.9,76.1,37.12,6065.9,29.59,direct
2010,admin_support,2,166.8,100.1,66.7,39.99,9679.3,58.03,direct
2010,community_social,2,649.7,,,,32433.5,49.92,direct
2010,info_comms,2,103.0,100.5,2.5,2.43,11557.1,112.2,direct
2010,mfg_electronics,2,100.9,,,,,,direct
2010,mfg_food_bev,2,36.0,,,,,,direct
2010,mfg_metal_machinery,2,105.4,,,,,,direct
2010,mfg_other,2,59.9,,,,,,direct
2010,mfg_paper_rubber,2,40.8,,,,,,direct
2010,mfg_petrochem,2,53.0,,,,,,direct
2010,mfg_transport_equip,2,124.2,,,,,,direct
2010,professional,2,184.2,112.5,71.7,38.93,18280.7,99.24,direct
2010,real_estate,2,81.2,40.2,41.0,50.49,14034.8,172.84,direct
2010,transport_storage,2,206.4,191.3,15.1,7.32,25271.0,122.44,direct
2010,wholesale_retail,2,438.4,281.7,156.7,35.74,59177.5,134.99,direct
2011,construction,1,400.5,99.7,300.8,75.11,14837.1,37.05,direct
2011,manufacturing,1,526.5,292.4,234.1,44.46,68806.8,130.69,direct
2011,others,1,22.8,23.5,-0.7,-3.07,,,direct
2011,services,1,2278.4,1583.4,695.0,30.5,228920.2,100.47,direct
2011,accomm_food,2,215.1,135.2,79.9,37.15,7227.9,33.6,direct
2011,admin_support,2,176.9,97.4,79.5,44.94,11736.2,66.34,direct
2011,community_social,2,673.3,,,,35896.8,53.31,direct
2011,info_comms,2,112.4,86.0,26.4,23.49,12792.4,113.81,direct
2011,mfg_electronics,2,96.1,,,,,,direct
2011,mfg_food_bev,2,36.2,,,,,,direct
2011,mfg_metal_machinery,2,110.6,,,,,,direct
2011,mfg_other,2,60.9,,,,,,direct
2011,mfg_paper_rubber,2,40.3,,,,,,direct
2011,mfg_petrochem,2,52.0,,,,,,direct
2011,mfg_transport_equip,2,130.3,,,,,,direct
2011,professional,2,193.8,124.8,69.0,35.6,19672.5,101.51,direct
2011,real_estate,2,84.7,48.9,35.8,42.27,16127.2,190.4,direct
2011,transport_storage,2,213.2,192.0,21.2,9.94,22159.2,103.94,direct
2011,wholesale_retail,2,452.1,300.5,151.6,33.53,68009.6,150.43,direct
2012,construction,1,441.0,104.5,336.5,76.3,16422.7,37.24,direct
2012,manufacturing,1,535.4,288.2,247.2,46.17,70497.2,131.67,direct
2012,others,1,24.5,26.4,-1.9,-7.76,,,direct
2012,services,1,2356.5,1621.5,735.0,31.19,239471.7,101.62,direct
2012,accomm_food,2,222.9,129.3,93.6,41.99,7847.6,35.21,direct
2012,admin_support,2,183.2,102.1,81.1,44.27,12922.3,70.54,direct
2012,community_social,2,693.6,,,,37567.1,54.16,direct
2012,info_comms,2,115.9,86.5,29.4,25.37,14011.6,120.89,direct
2012,mfg_electronics,2,92.3,,,,,,direct
2012,mfg_food_bev,2,37.8,,,,,,direct
2012,mfg_metal_machinery,2,110.8,,,,,,direct
2012,mfg_other,2,61.6,,,,,,direct
2012,mfg_paper_rubber,2,38.4,,,,,,direct
2012,mfg_petrochem,2,63.9,,,,,,direct
2012,mfg_transport_equip,2,130.7,,,,,,direct
2012,professional,2,203.9,135.0,68.9,33.79,20982.3,102.9,direct
2012,real_estate,2,88.8,52.0,36.8,41.44,17078.0,192.32,direct
2012,transport_storage,2,222.1,189.5,32.6,14.68,23702.9,106.72,direct
2012,wholesale_retail,2,463.2,306.3,156.9,33.87,67637.8,146.02,direct
2013,construction,1,479.5,101.9,377.6,78.75,17119.7,35.7,direct
2013,manufacturing,1,539.9,280.0,259.9,48.14,67885.0,125.74,direct
2013,others,1,26.2,26.8,-0.6,-2.29,,,direct
2013,services,1,2447.9,1647.5,800.4,32.7,255092.1,104.21,direct
2013,accomm_food,2,230.6,135.1,95.5,41.41,8208.3,35.6,direct
2013,admin_support,2,193.4,99.3,94.1,48.66,14391.4,74.41,direct
2013,community_social,2,717.5,,,,40300.2,56.17,direct
2013,info_comms,2,122.0,92.3,29.7,24.34,15137.3,124.08,direct
2013,mfg_electronics,2,89.4,,,,,,direct
2013,mfg_food_bev,2,41.2,,,,,,direct
2013,mfg_metal_machinery,2,110.9,,,,,,direct
2013,mfg_other,2,62.4,,,,,,direct
2013,mfg_paper_rubber,2,37.7,,,,,,direct
2013,mfg_petrochem,2,64.6,,,,,,direct
2013,mfg_transport_equip,2,133.7,,,,,,direct
2013,professional,2,218.7,142.8,75.9,34.71,21671.4,99.09,direct
2013,real_estate,2,87.4,49.3,38.1,43.59,19243.2,220.17,direct
2013,transport_storage,2,230.3,192.6,37.7,16.37,24756.7,107.5,direct
2013,wholesale_retail,2,479.4,302.2,177.2,36.96,68495.3,142.88,direct
2014,construction,1,494.3,98.2,396.1,80.13,19179.9,38.8,direct
2014,manufacturing,1,535.9,249.3,286.6,53.48,71809.7,134.0,direct
2014,others,1,26.9,24.8,2.1,7.81,,,direct
2014,services,1,2566.6,1731.2,835.4,32.55,262844.0,102.41,direct
2014,accomm_food,2,240.8,137.1,103.7,43.06,8666.6,35.99,direct
2014,admin_support,2,207.8,102.0,105.8,50.91,16465.5,79.24,direct
2014,community_social,2,750.4,,,,42665.0,56.86,direct
2014,info_comms,2,129.0,88.4,40.6,31.47,16196.1,125.55,direct
2014,mfg_electronics,2,88.6,,,,,,direct
2014,mfg_food_bev,2,43.2,,,,,,direct
2014,mfg_metal_machinery,2,112.1,,,,,,direct
2014,mfg_other,2,63.7,,,,,,direct
2014,mfg_paper_rubber,2,36.8,,,,,,direct
2014,mfg_petrochem,2,61.1,,,,,,direct
2014,mfg_transport_equip,2,130.4,,,,,,direct
2014,professional,2,231.3,153.0,78.3,33.85,22104.8,95.57,direct
